,Unnamed: 0,Recording timestamp,Computer timestamp,Sensor,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
0,0,0,6405043858,,,RecordingStart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,209,2980387,6408024245,,,Eye tracker Calibration start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,183.0,5.0,1007.0,983.0,,,,
467,467,6104332,6411148190,,,MouseEvent,"Down, Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,449.0,12.0,976.0,507.0,,,,
479,479,6250365,6411294223,,,MouseEvent,"Up, Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,449.0,12.0,976.0,507.0,,,,
1995,1995,49337171,6454381029,,,MouseEvent,"Down, Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,385.0,20.0,,,,,,
1999,1999,49427175,6454471033,,,MouseEvent,"Up, Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2029,49851643,6454895501,,,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,50.0,77.0,,,,,,
2030,2030,49851643,6454895501,,,ImageStimulusStart,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,50.0,77.0,,,,,,
2337,2337,54849574,6459893432,,,ImageStimulusEnd,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,34.0,97.0,,,,,,
2338,2338,54849574,6459893432,,,ImageStimulusStart,視線誘導問題.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,34.0,97.0,,,,,,
4229,4229,86315930,6491359788,,,KeyboardEvent,Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,433.0,192.0,673.0,857.0,0.3506,0.7939,,
4232,4232,86348807,6491392665,,,ImageStimulusEnd,視線誘導問題.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,433.0,192.0,673.0,857.0,0.3506,0.7939,,
4233,4233,86348807,6491392665,,,ImageStimulusStart,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,433.0,192.0,673.0,857.0,0.3506,0.7939,,
4534,4534,91349501,6496393359,,,ImageStimulusEnd,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,67.0,204.0,1598.0,600.0,0.8321,0.556,,
4535,4535,91349501,6496393359,,,ImageStimulusStart,視線誘導問題.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,67.0,204.0,1598.0,600.0,0.8321,0.556,,
6966,6966,131776861,6536820719,,,KeyboardEvent,Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,17.0,117.0,,,,,,
6969,6969,131812950,6536856808,,,ImageStimulusEnd,視線誘導問題.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,33.0,488.0,,,,,,
6970,6970,131812950,6536856808,,,ImageStimulusStart,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,33.0,488.0,,,,,,
7260,7260,136804614,6541848472,,,ImageStimulusEnd,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,233.0,378.0,268.0,1114.0,,,,
7261,7261,136804614,6541848472,,,ImageStimulusStart,視線誘導問題.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,233.0,378.0,268.0,1114.0,,,,
9365,9365,171826976,6576870834,,,KeyboardEvent,Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,200.0,508.0,1135.0,888.0,0.5912,0.8221,,
9368,9368,171870866,6576914724,,,ImageStimulusEnd,視線誘導問題.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,200.0,508.0,1135.0,888.0,0.5912,0.8221,,
9369,9369,171870866,6576914724,,,ImageStimulusStart,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,200.0,508.0,1135.0,888.0,0.5912,0.8221,,
9622,9622,176865961,6581909819,,,ImageStimulusEnd,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,50.0,687.0,,,,,,
9623,9623,176865961,6581909819,,,ImageStimulusStart,視線誘導問題.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saccade,50.0,687.0,,,,,,
11587,11587,209538006,6614581864,,,KeyboardEvent,Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,200.0,633.0,751.0,899.0,0.3911,0.8326,,
11590,11590,209566796,6614610654,,,ImageStimulusEnd,視線誘導問題.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,200.0,633.0,751.0,899.0,0.3911,0.8326,,
11591,11591,209566796,6614610654,,,ImageStimulusStart,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,200.0,633.0,751.0,899.0,0.3911,0.8326,,
11883,11883,214573898,6619617756,,,ImageStimulusEnd,blank2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,67.0,644.0,1180.0,1010.0,,,,
11887,11887,214788401,6619832259,,,RecordingEnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
